day_stap,repo,time_stap
2023/1/28,2220,2023/1/28
2023/1/29,1280,2023/1/29
2023/1/30,1730,2023/1/30
2023/1/31,4710,2023/1/31
2023/2/1,1550,2023/2/1
2023/2/2,660,2023/2/2
2023/2/3,230,2023/2/3
2023/2/4,0,2023/2/4
2023/2/5,0,2023/2/5
2023/2/6,1500,2023/2/6
2023/2/7,3930,2023/2/7
2023/2/8,6410,2023/2/8
2023/2/9,4530,2023/2/9
2023/2/10,2030,2023/2/10
2023/2/11,0,2023/2/11
2023/2/12,0,2023/2/12
2023/2/13,460,2023/2/13
2023/2/14,910,2023/2/14
2023/2/15,2030,2023/2/15
2023/2/16,4870,2023/2/16
2023/2/17,8350,2023/2/17
2023/2/18,0,2023/2/18
2023/2/19,0,2023/2/19
2023/2/20,2700,2023/2/20
2023/2/21,1500,2023/2/21
2023/2/22,3000,2023/2/22
2023/2/23,3000,2023/2/23
2023/2/24,4700,2023/2/24
2023/2/25,0,2023/2/25
2023/2/26,0,2023/2/26
2023/2/27,3360,2023/2/27
2023/2/28,4810,2023/2/28
2023/3/1,1070,2023/3/1
2023/3/2,730,2023/3/2
2023/3/3,180,2023/3/3
2023/3/4,0,2023/3/4
2023/3/5,0,2023/3/5
2023/3/6,70,2023/3/6
2023/3/7,30,2023/3/7
2023/3/8,40,2023/3/8
2023/3/9,30,2023/3/9
2023/3/10,150,2023/3/10
2023/3/11,0,2023/3/11
2023/3/12,0,2023/3/12
2023/3/13,410,2023/3/13
2023/3/14,290,2023/3/14
2023/3/15,1040,2023/3/15
2023/3/16,1090,2023/3/16
2023/3/17,1800,2023/3/17
2023/3/18,0,2023/3/18
2023/3/19,0,2023/3/19
2023/3/20,300,2023/3/20
2023/3/21,1820,2023/3/21
2023/3/22,670,2023/3/22
2023/3/23,640,2023/3/23
2023/3/24,70,2023/3/24
2023/3/25,0,2023/3/25
2023/3/26,0,2023/3/26
2023/3/27,2550,2023/3/27
2023/3/28,2780,2023/3/28
2023/3/29,2000,2023/3/29
2023/3/30,2390,2023/3/30
2023/3/31,1890,2023/3/31
2023/4/1,0,2023/4/1
2023/4/2,0,2023/4/2
2023/4/3,20,2023/4/3
2023/4/4,20,2023/4/4
2023/4/5,0,2023/4/5
2023/4/6,80,2023/4/6
2023/4/7,170,2023/4/7
2023/4/8,0,2023/4/8
2023/4/9,0,2023/4/9
2023/4/10,180,2023/4/10
2023/4/11,50,2023/4/11
2023/4/12,70,2023/4/12 17:10
2023/4/13,90,2023/4/13 9:27
2023/4/14,150,2023/4/14 9:54
2023/4/15,0,2023/4/15 0:00
2023/4/16,0,2023/4/16 0:00
2023/4/17,200,2023/4/17 9:46
2023/4/18,380,2023/4/18 9:35
2023/4/19,320,2023/4/19 9:26
2023/4/20,340,2023/4/20 9:45
2023/4/21,880,2023/4/21 9:27
2023/4/22,0,2023/4/22 0:00
2023/4/23,890,2023/4/23 0:00
2023/4/24,1150,2023/4/24 9:25
2023/4/25,1700,2023/4/25 13:02
2023/4/26,950,2023/4/26 9:23
2023/4/27,930,2023/4/27 9:37
2023/4/28,1650,2023/4/28 9:50
2023/4/29,0,2023/4/29 0:00
2023/4/30,0,2023/4/30 0:00
2023/5/1,0,2023/5/1 9:37
2023/5/2,0,2023/5/2 9:50
2023/5/3,0,2023/5/3 0:00
2023/5/4,330,2023/5/4 9:43
2023/5/5,30,2023/5/5 9:25
2023/5/6,0,2023/5/6 0:00
2023/5/7,0,2023/5/7 0:00
2023/5/8,20,2023/5/8 9:29
2023/5/9,20,2023/5/9 9:37
2023/5/10,20,2023/5/10 9:23
2023/5/11,20,2023/5/11 9:29
2023/5/12,20,2023/5/12 9:42
2023/5/13,0,2023/5/13 0:00
2023/5/14,0,2023/5/14 0:00
2023/5/15,20,2023/5/15 9:25
2023/5/16,20,2023/5/16 9:25
2023/5/17,20,2023/5/17 9:23
2023/5/18,20,2023/5/18 9:25
2023/5/19,20,2023/5/18 9:25
2023/5/20,0,2023/5/20 0:00
2023/5/21,0,2023/5/21 0:00
2023/5/22,20,2023/5/22 9:24
2023/5/23,20,2023/5/23 9:37
2023/5/24,20,2023/5/24 9:51
2023/5/25,70,2023/5/25 9:27
2023/5/26,50,2023/5/26 9:29
2023/5/27,0,2023/5/27 0:00
2023/5/28,0,2023/5/28 0:00
2023/5/29,250,2023/5/29 9:26
2023/5/30,370,2023/5/30 9:24
2023/5/31,130,2023/5/31 9:25
2023/6/1,20,2023/6/1 10:27
2023/6/2,20,2023/6/2 9:26
2023/6/3,0,2023/6/3 0:00
2023/6/4,0,2023/6/4 0:00
2023/6/5,20,2023/6/5 9:24
2023/6/6,20,2023/6/6 9:27
2023/6/7,20,2023/6/7 9:24
2023/6/8,20,2023/6/8 9:23
2023/6/9,20,2023/6/9 9:23
2023/6/10,0,2023/6/10 0:00
2023/6/11,0,2023/6/11 0:00
2023/6/12,20,2023/6/12 9:27
2023/6/13,20,2023/6/13 9:24
2023/6/14,20,2023/6/14 9:28
2023/6/15,20,2023/6/15 9:27
2023/6/16,420,2023/6/16 9:30
2023/6/17,0,2023/6/17 0:00
2023/6/18,0,2023/6/18 0:00
2023/6/19,890,2023/6/19 9:28
2023/6/20,1820,2023/6/20 9:24
2023/6/21,1450,2023/6/21 9:26
2023/6/22,0,2023/6/22 9:27
2023/6/23,0,2023/6/23 9:29
2023/6/24,0,2023/6/24 9:30
2023/6/25,1960,2023/6/25 9:32
2023/6/26,2440,2023/6/26 9:27
2023/6/27,2190,2023/6/27 9:24
2023/6/28,2140,2023/6/28 9:24
2023/6/29,1930,2023/6/29 9:28
2023/6/30,1030,2023/6/30 9:28
2023/7/1,0,2023/7/1 0:00
2023/7/2,0,2023/7/2 0:00
2023/7/3,50,2023/7/3 9:29
2023/7/4,20,2023/7/4 9:29
2023/7/5,20,2023/7/5 9:24
2023/7/6,20,2023/7/6 9:26
2023/7/7,20,2023/7/7 9:27
2023/7/8,0,2023/7/8 0:00
2023/7/9,0,2023/7/9 0:00
2023/7/10,20,2023/7/10 9:28
2023/7/11,20,2023/7/11 9:27
2023/7/12,20,2023/7/12 9:24
2023/7/13,50,2023/7/13 9:26
2023/7/14,200,2023/7/14 9:31
2023/7/15,0,2023/7/15 0:00
2023/7/16,0,2023/7/16 0:00
2023/7/17,330,2023/7/17 10:08
2023/7/18,150,2023/7/18 9:26
2023/7/19,250,2023/7/18 9:26
2023/7/20,260,2023/7/20 9:40
2023/7/21,130,2023/7/21 9:35
2023/7/22,0,2023/7/22 0:00
2023/7/23,0,2023/7/23 0:00
2023/7/24,140,2023/7/24 9:58
2023/7/25,440,2023/7/25 9:24
2023/7/26,1040,2023/7/26 9:34
2023/7/27,1140,2023/7/27 9:29
2023/7/28,650,2023/7/28 9:25
2023/7/29,0,2023/7/29 0:00
2023/7/30,0,2023/7/30 0:00
2023/7/31,310,2023/7/31 9:26
2023/8/1,80,2023/8/1 9:24
2023/8/2,90,2023/8/2 9:27
2023/8/3,30,2023/8/3 9:30
2023/8/4,20,2023/8/4 9:25
2023/8/5,0,2023/8/5 0:00
2023/8/6,0,2023/8/6 0:00
2023/8/7,30,2023/8/7 13:13
2023/8/8,60,2023/8/8 9:24
2023/8/9,20,2023/8/9 9:27
2023/8/10,50,2023/8/10 11:51
2023/8/11,20,2023/8/11 9:30
2023/8/12,0,2023/8/12 0:00
2023/8/13,0,2023/8/13 0:00
2023/8/14,60,2023/8/14 9:28
2023/8/15,2040,2023/8/15 9:43
2023/8/16,2290,2023/8/16 9:40
2023/8/17,1680,2023/8/17 9:25
2023/8/18,980,2023/8/18 9:37
2023/8/19,0,2023/8/19 0:00
2023/8/20,0,2023/8/20 0:00
2023/8/21,340,2023/8/21 9:31
2023/8/22,1110,2023/8/22 9:27
2023/8/23,3010,2023/8/23 9:27
2023/8/24,610,2023/8/24 9:24
2023/8/25,2210,2023/8/25 10:15
2023/8/26,0,2023/8/26 0:00
2023/8/27,0,2023/8/27 0:00
2023/8/28,3320,2023/8/28 9:30
2023/8/29,3850,2023/8/29 9:23
2023/8/30,3820,2023/8/30 9:46
2023/8/31,2090,2023/8/31 9:28
2023/9/1,1010,2023/9/1 9:25
2023/9/2,0,2023/9/2 0:00
2023/9/3,0,2023/9/3 0:00
2023/9/4,120,2023/9/4 9:23
2023/9/5,140,2023/9/5 9:24
2023/9/6,260,2023/9/6 10:02
2023/9/7,3300,2023/9/7 9:53
2023/9/8,3630,2023/9/8 9:41
2023/9/9,0,2023/9/9 0:00
2023/9/10,0,2023/9/10 0:00
2023/9/11,2150,2023/9/11 9:24
2023/9/12,2090,2023/9/12 9:32
2023/9/13,650,2023/9/13 9:26
2023/9/14,1100,2023/9/14 9:26
2023/9/15,5910,2023/9/15 10:04
2023/9/16,0,2023/9/16 0:00
2023/9/17,0,2023/9/17 0:00
2023/9/18,1840,2023/9/18 12:04
2023/9/19,2080,2023/9/19 9:37
2023/9/20,2650,2023/9/20 9:32
2023/9/21,1690,2023/9/21 9:36
2023/9/22,0,2023/9/22 9:40
