,day_stap,repo,time_stap
0,2022/7/1,100,2022/7/1 0:00
1,2022/7/2,0,2022/7/2 0:00
2,2022/7/3,0,2022/7/3 0:00
3,2022/7/4,30,2022/7/4 0:00
4,2022/7/5,30,2022/7/5 0:00
5,2022/7/6,30,2022/7/6 0:00
6,2022/7/7,30,2022/7/7 0:00
7,2022/7/8,30,2022/7/8 0:00
8,2022/7/9,0,2022/7/9 0:00
9,2022/7/10,0,2022/7/10 0:00
10,2022/7/11,30,2022/7/11 0:00
11,2022/7/12,30,2022/7/12 0:00
12,2022/7/13,30,2022/7/13 0:00
13,2022/7/14,30,2022/7/14 0:00
14,2022/7/15,30,2022/7/15 0:00
15,2022/7/16,0,2022/7/16 0:00
16,2022/7/17,0,2022/7/17 0:00
17,2022/7/18,120,2022/7/18 0:00
18,2022/7/19,70,2022/7/19 0:00
19,2022/7/20,70,2022/7/20 0:00
20,2022/7/21,30,2022/7/21 0:00
21,2022/7/22,30,2022/7/22 0:00
22,2022/7/23,0,2022/7/23 0:00
23,2022/7/24,0,2022/7/24 0:00
24,2022/7/25,50,2022/7/25 0:00
25,2022/7/26,50,2022/7/26 0:00
26,2022/7/27,20,2022/7/27 0:00
27,2022/7/28,20,2022/7/28 0:00
28,2022/7/29,20,2022/7/29 0:00
29,2022/7/30,0,2022/7/30 0:00
30,2022/7/31,0,2022/7/31 0:00
31,2022/8/1,20,2022/8/1 0:00
32,2022/8/2,20,2022/8/2 0:00
33,2022/8/3,20,2022/8/3 0:00
34,2022/8/4,20,2022/8/4 0:00
35,2022/8/5,20,2022/8/5 0:00
36,2022/8/6,0,2022/8/6 0:00
37,2022/8/7,0,2022/8/7 0:00
38,2022/8/8,20,2022/8/8 0:00
39,2022/8/9,20,2022/8/9 0:00
40,2022/8/10,20,2022/8/10 0:00
41,2022/8/11,20,2022/8/11 0:00
42,2022/8/12,20,2022/8/12 0:00
43,2022/8/13,0,2022/8/13 0:00
44,2022/8/14,0,2022/8/14 0:00
45,2022/8/15,20,2022/8/15 0:00
46,2022/8/16,20,2022/8/16 0:00
47,2022/8/17,20,2022/8/17 0:00
48,2022/8/18,20,2022/8/18 0:00
49,2022/8/19,20,2022/8/19 0:00
50,2022/8/20,0,2022/8/20 0:00
51,2022/8/21,0,2022/8/21 0:00
52,2022/8/22,20,2022/8/22 0:00
53,2022/8/23,20,2022/8/23 0:00
54,2022/8/24,20,2022/8/24 0:00
55,2022/8/25,20,2022/8/25 0:00
56,2022/8/26,20,2022/8/26 0:00
57,2022/8/27,0,2022/8/27 0:00
58,2022/8/28,0,2022/8/28 0:00
59,2022/8/29,20,2022/8/29 0:00
60,2022/8/30,20,2022/8/30 0:00
61,2022/8/31,20,2022/8/31 0:00
62,2022/9/1,20,2022/9/1 0:00
63,2022/9/2,20,2022/9/2 0:00
64,2022/9/3,0,2022/9/3 0:00
65,2022/9/4,0,2022/9/4 0:00
66,2022/9/5,20,2022/9/5 0:00
67,2022/9/6,20,2022/9/6 0:00
68,2022/9/7,20,2022/9/7 0:00
69,2022/9/8,20,2022/9/8 0:00
70,2022/9/9,20,2022/9/9 0:00
71,2022/9/10,0,2022/9/10 0:00
72,2022/9/11,0,2022/9/11 0:00
73,2022/9/12,0,2022/9/12 0:00
74,2022/9/13,20,2022/9/13 0:00
75,2022/9/14,20,2022/9/14 0:00
76,2022/9/15,20,2022/9/15 0:00
77,2022/9/16,20,2022/9/16 0:00
78,2022/9/17,0,2022/9/17 0:00
79,2022/9/18,0,2022/9/18 0:00
80,2022/9/19,20,2022/9/19 0:00
81,2022/9/20,20,2022/9/20 0:00
82,2022/9/21,20,2022/9/21 0:00
83,2022/9/22,20,2022/9/22 0:00
84,2022/9/23,20,2022/9/23 0:00
85,2022/9/24,0,2022/9/24 0:00
86,2022/9/25,0,2022/9/25 0:00
87,2022/9/26,420,2022/9/26 0:00
88,2022/9/27,1130,2022/9/27 0:00
89,2022/9/28,1330,2022/9/28 0:00
90,2022/9/29,1050,2022/9/29 0:00
91,2022/9/30,1280,2022/9/30 0:00
92,2022/10/1,0,2022/10/1 0:00
93,2022/10/2,0,2022/10/2 0:00
94,2022/10/3,0,2022/10/3 0:00
95,2022/10/4,0,2022/10/4 0:00
96,2022/10/5,0,2022/10/5 0:00
97,2022/10/6,0,2022/10/6 0:00
98,2022/10/7,0,2022/10/7 0:00
99,2022/10/8,170,2022/10/8 0:00
100,2022/10/9,20,2022/10/9 0:00
101,2022/10/10,20,2022/10/10 0:00
102,2022/10/11,20,2022/10/11 0:00
103,2022/10/12,20,2022/10/12 0:00
104,2022/10/13,20,2022/10/13 0:00
105,2022/10/14,20,2022/10/14 0:00
106,2022/10/15,0,2022/10/15 0:00
107,2022/10/16,0,2022/10/16 0:00
108,2022/10/17,20,2022/10/17 0:00
109,2022/10/18,20,2022/10/18 0:00
110,2022/10/19,20,2022/10/19 0:00
111,2022/10/20,20,2022/10/20 0:00
112,2022/10/21,20,2022/10/21 0:00
113,2022/10/22,0,2022/10/22 0:00
114,2022/10/23,0,2022/10/23 0:00
115,2022/10/24,100,2022/10/24 0:00
116,2022/10/25,2300,2022/10/25 0:00
117,2022/10/26,2800,2022/10/26 0:00
118,2022/10/27,2400,2022/10/27 0:00
119,2022/10/28,900,2022/10/28 0:00
120,2022/10/29,0,2022/10/29 0:00
121,2022/10/30,0,2022/10/30 0:00
122,2022/10/31,700,2022/10/31 0:00
123,2022/11/1,150,2022/11/1 0:00
124,2022/11/2,180,2022/11/2 0:00
125,2022/11/3,70,2022/11/3 0:00
126,2022/11/4,30,2022/11/4 0:00
127,2022/11/5,0,2022/11/5 0:00
128,2022/11/6,0,2022/11/6 0:00
129,2022/11/7,20,2022/11/7 0:00
130,2022/11/8,20,2022/11/8 0:00
131,2022/11/9,80,2022/11/9 0:00
132,2022/11/10,90,2022/11/10 0:00
133,2022/11/11,120,2022/11/11 0:00
134,2022/11/12,0,2022/11/12 0:00
135,2022/11/13,0,2022/11/13 0:00
136,2022/11/14,50,2022/11/14 0:00
137,2022/11/15,1720,2022/11/15 0:00
138,2022/11/16,710,2022/11/16 0:00
139,2022/11/17,1320,2022/11/17 0:00
140,2022/11/18,210,2022/11/18 0:00
141,2022/11/19,0,2022/11/19 0:00
142,2022/11/20,0,2022/11/20 0:00
143,2022/11/21,30,2022/11/21 0:00
144,2022/11/22,20,2022/11/22 13:43
145,2022/11/23,20,2022/11/23 13:31
146,2022/11/24,80,2022/11/24 13:31
147,2022/11/25,80,2022/11/25 9:26
148,2022/11/26,0,2022/11/26 0:00
149,2022/11/27,0,2022/11/27 0:00
150,2022/11/28,550,2022/11/28 9:52
151,2022/11/29,800,2022/11/29 14:11
152,2022/11/30,1700,2022/11/30 9:23
153,2022/12/1,100,2022/12/1 9:59
154,2022/12/2,20,2022/12/2 9:30
155,2022/12/3,0,2022/12/3 0:00
156,2022/12/4,0,2022/12/4 0:00
157,2022/12/5,20,2022/12/5 0:00
158,2022/12/6,20,2022/12/6 10:08
159,2022/12/7,20,2022/12/7 9:24
160,2022/12/8,20,2022/12/8 9:23
161,2022/12/9,20,2022/12/9 9:33
162,2022/12/10,0,2022/12/10 0:00
163,2022/12/11,0,2022/12/11 0:00
164,2022/12/12,20,2022/12/12 9:25
165,2022/12/13,20,2022/12/13 9:24
166,2022/12/14,20,2022/12/14 9:29
167,2022/12/15,20,2022/12/15 9:28
168,2022/12/16,410,2022/12/16 9:27
169,2022/12/17,0,2022/12/17 0:00
170,2022/12/18,0,2022/12/18 0:00
171,2022/12/19,90,2022/12/19 9:28
172,2022/12/20,50,2022/12/20 9:28
173,2022/12/21,190,2022/12/21 9:28
