day_stap,repo,prior_repo,outflow
2023-01-28,2220,0,2220
2023-01-29,1280,0,1280
2023-01-30,1730,0,1730
2023-01-31,4710,0,4710
2023-02-01,1550,0,1550
2023-02-02,660,0,660
2023-02-03,230,0,230
2023-02-04,0,2220,-2220
2023-02-05,0,1280,-1280
2023-02-06,1500,1730,-230
2023-02-07,3930,4710,-780
2023-02-08,6410,1550,4860
2023-02-09,4530,660,3870
2023-02-10,2030,230,1800
2023-02-11,0,0,0
2023-02-12,0,0,0
2023-02-13,460,1500,-1040
2023-02-14,910,3930,-3020
2023-02-15,2030,6410,-4380
2023-02-16,4870,4530,340
2023-02-17,8350,2030,6320
2023-02-18,0,0,0
2023-02-19,0,0,0
2023-02-20,2700,460,2240
2023-02-21,1500,910,590
2023-02-22,3000,2030,970
2023-02-23,3000,4870,-1870
2023-02-24,4700,8350,-3650
2023-02-25,0,0,0
2023-02-26,0,0,0
2023-02-27,3360,2700,660
2023-02-28,4810,1500,3310
2023-03-01,1070,3000,-1930
2023-03-02,730,3000,-2270
2023-03-03,180,4700,-4520
2023-03-04,0,0,0
2023-03-05,0,0,0
2023-03-06,70,3360,-3290
2023-03-07,30,4810,-4780
2023-03-08,40,1070,-1030
2023-03-09,30,730,-700
2023-03-10,150,180,-30
2023-03-11,0,0,0
2023-03-12,0,0,0
2023-03-13,410,70,340
2023-03-14,290,30,260
2023-03-15,1040,40,1000
2023-03-16,1090,30,1060
2023-03-17,1800,150,1650
2023-03-18,0,0,0
2023-03-19,0,0,0
2023-03-20,300,410,-110
2023-03-21,1820,290,1530
2023-03-22,670,1040,-370
2023-03-23,640,1090,-450
2023-03-24,70,1800,-1730
2023-03-25,0,0,0
2023-03-26,0,0,0
2023-03-27,2550,300,2250
2023-03-28,2780,1820,960
2023-03-29,2000,670,1330
2023-03-30,2390,640,1750
2023-03-31,1890,70,1820
2023-04-01,0,0,0
2023-04-02,0,0,0
2023-04-03,20,2550,-2530
2023-04-04,20,2780,-2760
2023-04-05,0,2000,-2000
2023-04-06,80,2390,-2310
2023-04-07,170,1890,-1720
2023-04-08,0,0,0
2023-04-09,0,0,0
2023-04-10,180,20,160
2023-04-11,50,20,30
2023-04-12,70,0,70
2023-04-13,90,80,10
2023-04-14,150,170,-20
2023-04-15,0,0,0
2023-04-16,0,0,0
2023-04-17,200,180,20
2023-04-18,380,50,330
2023-04-19,320,70,250
2023-04-20,340,90,250
2023-04-21,880,150,730
2023-04-22,0,0,0
2023-04-23,890,0,890
2023-04-24,1150,200,950
2023-04-25,1700,380,1320
2023-04-26,950,320,630
2023-04-27,930,340,590
