,day_stap,repo,time_stap
0,2022-07-01,100,2022-07-01 00:00:00
1,2022-07-02,0,2022-07-02 00:00:00
2,2022-07-03,0,2022-07-03 00:00:00
3,2022-07-04,30,2022-07-04 00:00:00
4,2022-07-05,30,2022-07-05 00:00:00
5,2022-07-06,30,2022-07-06 00:00:00
6,2022-07-07,30,2022-07-07 00:00:00
7,2022-07-08,30,2022-07-08 00:00:00
8,2022-07-09,0,2022-07-09 00:00:00
9,2022-07-10,0,2022-07-10 00:00:00
10,2022-07-11,30,2022-07-11 00:00:00
11,2022-07-12,30,2022-07-12 00:00:00
12,2022-07-13,30,2022-07-13 00:00:00
13,2022-07-14,30,2022-07-14 00:00:00
14,2022-07-15,30,2022-07-15 00:00:00
15,2022-07-16,0,2022-07-16 00:00:00
16,2022-07-17,0,2022-07-17 00:00:00
17,2022-07-18,120,2022-07-18 00:00:00
18,2022-07-19,70,2022-07-19 00:00:00
19,2022-07-20,70,2022-07-20 00:00:00
20,2022-07-21,30,2022-07-21 00:00:00
21,2022-07-22,30,2022-07-22 00:00:00
22,2022-07-23,0,2022-07-23 00:00:00
23,2022-07-24,0,2022-07-24 00:00:00
24,2022-07-25,50,2022-07-25 00:00:00
25,2022-07-26,50,2022-07-26 00:00:00
26,2022-07-27,20,2022-07-27 00:00:00
27,2022-07-28,20,2022-07-28 00:00:00
28,2022-07-29,20,2022-07-29 00:00:00
29,2022-07-30,0,2022-07-30 00:00:00
30,2022-07-31,0,2022-07-31 00:00:00
31,2022-08-01,20,2022-08-01 00:00:00
32,2022-08-02,20,2022-08-02 00:00:00
33,2022-08-03,20,2022-08-03 00:00:00
34,2022-08-04,20,2022-08-04 00:00:00
35,2022-08-05,20,2022-08-05 00:00:00
36,2022-08-06,0,2022-08-06 00:00:00
37,2022-08-07,0,2022-08-07 00:00:00
38,2022-08-08,20,2022-08-08 00:00:00
39,2022-08-09,20,2022-08-09 00:00:00
40,2022-08-10,20,2022-08-10 00:00:00
41,2022-08-11,20,2022-08-11 00:00:00
42,2022-08-12,20,2022-08-12 00:00:00
43,2022-08-13,0,2022-08-13 00:00:00
44,2022-08-14,0,2022-08-14 00:00:00
45,2022-08-15,20,2022-08-15 00:00:00
46,2022-08-16,20,2022-08-16 00:00:00
47,2022-08-17,20,2022-08-17 00:00:00
48,2022-08-18,20,2022-08-18 00:00:00
49,2022-08-19,20,2022-08-19 00:00:00
50,2022-08-20,0,2022-08-20 00:00:00
51,2022-08-21,0,2022-08-21 00:00:00
52,2022-08-22,20,2022-08-22 00:00:00
53,2022-08-23,20,2022-08-23 00:00:00
54,2022-08-24,20,2022-08-24 00:00:00
55,2022-08-25,20,2022-08-25 00:00:00
56,2022-08-26,20,2022-08-26 00:00:00
57,2022-08-27,0,2022-08-27 00:00:00
58,2022-08-28,0,2022-08-28 00:00:00
59,2022-08-29,20,2022-08-29 00:00:00
60,2022-08-30,20,2022-08-30 00:00:00
61,2022-08-31,20,2022-08-31 00:00:00
62,2022-09-01,20,2022-09-01 00:00:00
63,2022-09-02,20,2022-09-02 00:00:00
64,2022-09-03,0,2022-09-03 00:00:00
65,2022-09-04,0,2022-09-04 00:00:00
66,2022-09-05,20,2022-09-05 00:00:00
67,2022-09-06,20,2022-09-06 00:00:00
68,2022-09-07,20,2022-09-07 00:00:00
69,2022-09-08,20,2022-09-08 00:00:00
70,2022-09-09,20,2022-09-09 00:00:00
71,2022-09-10,0,2022-09-10 00:00:00
72,2022-09-11,0,2022-09-11 00:00:00
73,2022-09-12,0,2022-09-12 00:00:00
74,2022-09-13,20,2022-09-13 00:00:00
75,2022-09-14,20,2022-09-14 00:00:00
76,2022-09-15,20,2022-09-15 00:00:00
77,2022-09-16,20,2022-09-16 00:00:00
78,2022-09-17,0,2022-09-17 00:00:00
79,2022-09-18,0,2022-09-18 00:00:00
80,2022-09-19,20,2022-09-19 00:00:00
81,2022-09-20,20,2022-09-20 00:00:00
82,2022-09-21,20,2022-09-21 00:00:00
83,2022-09-22,20,2022-09-22 00:00:00
84,2022-09-23,20,2022-09-23 00:00:00
85,2022-09-24,0,2022-09-24 00:00:00
86,2022-09-25,0,2022-09-25 00:00:00
87,2022-09-26,420,2022-09-26 00:00:00
88,2022-09-27,1130,2022-09-27 00:00:00
89,2022-09-28,1330,2022-09-28 00:00:00
90,2022-09-29,1050,2022-09-29 00:00:00
91,2022-09-30,1280,2022-09-30 00:00:00
92,2022-10-01,0,2022-10-01 00:00:00
93,2022-10-02,0,2022-10-02 00:00:00
94,2022-10-03,0,2022-10-03 00:00:00
95,2022-10-04,0,2022-10-04 00:00:00
96,2022-10-05,0,2022-10-05 00:00:00
97,2022-10-06,0,2022-10-06 00:00:00
98,2022-10-07,0,2022-10-07 00:00:00
99,2022-10-08,170,2022-10-08 00:00:00
100,2022-10-09,20,2022-10-09 00:00:00
101,2022-10-10,20,2022-10-10 00:00:00
102,2022-10-11,20,2022-10-11 00:00:00
103,2022-10-12,20,2022-10-12 00:00:00
104,2022-10-13,20,2022-10-13 00:00:00
105,2022-10-14,20,2022-10-14 00:00:00
106,2022-10-15,0,2022-10-15 00:00:00
107,2022-10-16,0,2022-10-16 00:00:00
108,2022-10-17,20,2022-10-17 00:00:00
109,2022-10-18,20,2022-10-18 00:00:00
110,2022-10-19,20,2022-10-19 00:00:00
111,2022-10-20,20,2022-10-20 00:00:00
112,2022-10-21,20,2022-10-21 00:00:00
113,2022-10-22,0,2022-10-22 00:00:00
114,2022-10-23,0,2022-10-23 00:00:00
115,2022-10-24,100,2022-10-24 00:00:00
116,2022-10-25,2300,2022-10-25 00:00:00
117,2022-10-26,2800,2022-10-26 00:00:00
118,2022-10-27,2400,2022-10-27 00:00:00
119,2022-10-28,900,2022-10-28 00:00:00
120,2022-10-29,0,2022-10-29 00:00:00
121,2022-10-30,0,2022-10-30 00:00:00
122,2022-10-31,700,2022-10-31 00:00:00
123,2022-11-01,150,2022-11-01 00:00:00
124,2022-11-02,180,2022-11-02 00:00:00
125,2022-11-03,70,2022-11-03 00:00:00
126,2022-11-04,30,2022-11-04 00:00:00
127,2022-11-05,0,2022-11-05 00:00:00
