,day_stap,valid_section,repo_for_week
0,2022-07-01,[100],100
1,2022-07-02,[100],100
2,2022-07-03,[100],100
3,2022-07-04,"[100, 30]",130
4,2022-07-05,"[100, 30, 30]",160
5,2022-07-06,"[100, 30, 30, 30]",190
6,2022-07-07,"[100, 30, 30, 30, 30]",220
7,2022-07-08,"[100, 30, 30, 30, 30, 30]",250
8,2022-07-09,"[100, 30, 30, 30, 30, 30]",250
9,2022-07-10,"[100, 30, 30, 30, 30, 30]",250
10,2022-07-11,"[100, 30, 30, 30, 30, 30, 30]",280
11,2022-07-12,"[30, 30, 30, 30, 30, 30, 30]",210
12,2022-07-13,"[30, 30, 30, 30, 30, 30, 30]",210
13,2022-07-14,"[30, 30, 30, 30, 30, 30, 30]",210
14,2022-07-15,"[30, 30, 30, 30, 30, 30, 30]",210
15,2022-07-16,"[30, 30, 30, 30, 30, 30, 30]",210
16,2022-07-17,"[30, 30, 30, 30, 30, 30, 30]",210
17,2022-07-18,"[30, 30, 30, 30, 30, 30, 120]",300
18,2022-07-19,"[30, 30, 30, 30, 30, 120, 70]",340
19,2022-07-20,"[30, 30, 30, 30, 120, 70, 70]",380
20,2022-07-21,"[30, 30, 30, 120, 70, 70, 30]",380
21,2022-07-22,"[30, 30, 120, 70, 70, 30, 30]",380
22,2022-07-23,"[30, 30, 120, 70, 70, 30, 30]",380
23,2022-07-24,"[30, 30, 120, 70, 70, 30, 30]",380
24,2022-07-25,"[30, 120, 70, 70, 30, 30, 50]",400
25,2022-07-26,"[120, 70, 70, 30, 30, 50, 50]",420
26,2022-07-27,"[70, 70, 30, 30, 50, 50, 20]",320
27,2022-07-28,"[70, 30, 30, 50, 50, 20, 20]",270
28,2022-07-29,"[30, 30, 50, 50, 20, 20, 20]",220
29,2022-07-30,"[30, 30, 50, 50, 20, 20, 20]",220
30,2022-07-31,"[30, 30, 50, 50, 20, 20, 20]",220
31,2022-08-01,"[30, 50, 50, 20, 20, 20, 20]",210
32,2022-08-02,"[50, 50, 20, 20, 20, 20, 20]",200
33,2022-08-03,"[50, 20, 20, 20, 20, 20, 20]",170
34,2022-08-04,"[20, 20, 20, 20, 20, 20, 20]",140
35,2022-08-05,"[20, 20, 20, 20, 20, 20, 20]",140
36,2022-08-06,"[20, 20, 20, 20, 20, 20, 20]",140
37,2022-08-07,"[20, 20, 20, 20, 20, 20, 20]",140
38,2022-08-08,"[20, 20, 20, 20, 20, 20, 20]",140
39,2022-08-09,"[20, 20, 20, 20, 20, 20, 20]",140
40,2022-08-10,"[20, 20, 20, 20, 20, 20, 20]",140
41,2022-08-11,"[20, 20, 20, 20, 20, 20, 20]",140
42,2022-08-12,"[20, 20, 20, 20, 20, 20, 20]",140
43,2022-08-13,"[20, 20, 20, 20, 20, 20, 20]",140
44,2022-08-14,"[20, 20, 20, 20, 20, 20, 20]",140
45,2022-08-15,"[20, 20, 20, 20, 20, 20, 20]",140
46,2022-08-16,"[20, 20, 20, 20, 20, 20, 20]",140
47,2022-08-17,"[20, 20, 20, 20, 20, 20, 20]",140
48,2022-08-18,"[20, 20, 20, 20, 20, 20, 20]",140
49,2022-08-19,"[20, 20, 20, 20, 20, 20, 20]",140
50,2022-08-20,"[20, 20, 20, 20, 20, 20, 20]",140
