,日期Date,trait_x1,收盘Close,收盘Close_1,wave
300,20231201,-5450.0,3031.64,3029.67,0.0007
303,20231204,-4340.0,3022.91,3031.64,-0.0029
304,20231205,-2050.0,2972.3,3022.91,-0.0167
305,20231206,-1980.0,2968.93,2972.3,-0.0011
306,20231207,-3000.0,2966.21,2968.93,-0.0009
307,20231208,780.0,2969.56,2966.21,0.0011
310,20231211,2180.0,2991.44,2969.56,0.0074
311,20231212,2040.0,3003.44,2991.44,0.004
312,20231213,250.0,2968.76,3003.44,-0.0115
313,20231214,-1010.0,2958.99,2968.76,-0.0033
314,20231215,-1470.0,2942.56,2958.99,-0.0056
317,20231218,-1010.0,2930.8,2942.56,-0.004
318,20231219,-2950.0,2932.39,2930.8,0.0005
319,20231220,-1310.0,2902.11,2932.39,-0.0103
320,20231221,-670.0,2918.71,2902.11,0.0057
321,20231222,-100.0,2914.78,2918.71,-0.0013
324,20231225,1970.0,2918.81,2914.78,0.0014
325,20231226,2640.0,2898.88,2918.81,-0.0068
326,20231227,2870.0,2914.61,2898.88,0.0054
327,20231228,1790.0,2954.7,2914.61,0.0138
328,20231229,1550.0,2974.93,2954.7,0.0068
332,20240102,-2460.0,2962.28,2974.93,-0.0043
333,20240103,-4070.0,2967.25,2962.28,0.0017
334,20240104,-3590.0,2954.35,2967.25,-0.0043
335,20240105,-1200.0,2929.18,2954.35,-0.0085
338,20240108,500.0,2887.54,2929.18,-0.0142
339,20240109,-720.0,2893.25,2887.54,0.002
340,20240110,60.0,2877.7,2893.25,-0.0054
341,20240111,120.0,2886.65,2877.7,0.0031
342,20240112,-100.0,2881.98,2886.65,-0.0016
345,20240115,390.0,2886.29,2881.98,0.0015
346,20240116,6950.0,2893.99,2886.29,0.0027
347,20240117,5270.0,2833.62,2893.99,-0.0209
348,20240118,730.0,2845.78,2833.62,0.0043
349,20240119,60.0,2832.28,2845.78,-0.0047
352,20240122,330.0,2756.34,2832.28,-0.0268
353,20240123,-2950.0,2770.98,2756.34,0.0053
354,20240124,-840.0,2820.77,2770.98,0.018
355,20240125,3660.0,2906.11,2820.77,0.0303
356,20240126,3900.0,2910.22,2906.11,0.0014
359,20240129,3780.0,2883.36,2910.22,-0.0092
360,20240130,980.0,2830.53,2883.36,-0.0183
361,20240131,810.0,2788.55,2830.53,-0.0148
362,20240201,-4230.0,2770.74,2788.55,-0.0064
363,20240202,-3780.0,2730.15,2770.74,-0.0146
366,20240205,-4000.0,2702.19,2730.15,-0.0102
367,20240206,-2240.0,2789.49,2702.19,0.0323
368,20240207,-2050.0,2829.7,2789.49,0.0144
369,20240208,2960.0,2865.9,2829.7,0.0128
380,20240219,320.0,2910.54,2865.9,0.0156
381,20240220,410.0,2922.73,2910.54,0.0042
382,20240221,490.0,2950.96,2922.73,0.0097
383,20240222,580.0,2988.36,2950.96,0.0127
384,20240223,2470.0,3004.88,2988.36,0.0055
387,20240226,2970.0,2977.02,3004.88,-0.0093
388,20240227,3430.0,3015.48,2977.02,0.0129
389,20240228,2750.0,2957.85,3015.48,-0.0191
390,20240229,590.0,3015.17,2957.85,0.0194
391,20240301,-2370.0,3027.02,3015.17,0.0039
394,20240304,-3190.0,3039.31,3027.02,0.0041
395,20240305,-3740.0,3047.79,3039.31,0.0028
396,20240306,-3140.0,3039.93,3047.79,-0.0026
397,20240307,-1070.0,3027.4,3039.93,-0.0041
398,20240308,0.0,3046.02,3027.4,0.0062
401,20240311,0.0,3068.46,3046.02,0.0074
402,20240312,0.0,3055.94,3068.46,-0.0041
403,20240313,-70.0,3043.83,3055.94,-0.004
404,20240314,-70.0,3038.23,3043.83,-0.0018
405,20240315,30.0,3054.64,3038.23,0.0054
408,20240318,0.0,3084.93,3054.64,0.0099
409,20240319,-50.0,3062.76,3084.93,-0.0072
410,20240320,0.0,3079.69,3062.76,0.0055
411,20240321,-10.0,3077.11,3079.69,-0.0008
412,20240322,-110.0,3048.03,3077.11,-0.0095
415,20240325,400.0,3026.31,3048.03,-0.0071
416,20240326,1450.0,3031.48,3026.31,0.0017
417,20240327,2470.0,2993.14,3031.48,-0.0126
418,20240328,2480.0,3010.66,2993.14,0.0059
419,20240329,1480.0,3041.17,3010.66,0.0101
422,20240401,-480.0,3077.38,3041.17,0.0119
423,20240402,-1480.0,3074.96,3077.38,-0.0008
424,20240403,-2480.0,3069.3,3074.96,-0.0018
429,20240408,0.0,3047.05,3069.3,-0.0072
430,20240409,0.0,3048.54,3047.05,0.0005
431,20240410,0.0,3027.33,3048.54,-0.007
432,20240411,20.0,3034.25,3027.33,0.0023
433,20240412,20.0,3019.47,3034.25,-0.0049
436,20240415,0.0,3057.38,3019.47,0.0126
437,20240416,0.0,3007.07,3057.38,-0.0165
438,20240417,0.0,3071.38,3007.07,0.0214
439,20240418,0.0,3074.22,3071.38,0.0009
440,20240419,0.0,3065.26,3074.22,-0.0029
